idnum,Country,Name,height,res_area,res_cap,lat,lon,ELEV_MASL,airtempcld,airtempwrm,koppen,POWER_KW,TYPE,maxcontour
134,India,Subansiri Lower HE Project(NHPC,130,33.5,1370,27.5431,94.2569,210.9230769,14.20462258,23.88348612,11,0, , 
135,India,Polavaram,39.28,600,5493.5,17.261111,81.656389,26.11111111,24.6379653,28.61801715,3,0, , 
137,India,Dibang,278,35.64,3850,28.3375,95.770833,476.3333333,7.967217255,19.18430278,11,0, , 
138,India,Pakal Dul,167,20.55,108,33.457158,75.813608,1836.3,-7.315626201,12.56761216,8,0, , 
139,India,Mekedatu,99,49.96,1901.97,12.27222,77.44028,402.6,24.61587524,25.68409424,3,0, , 
140,India,Barmul,25,137.68,1216,20.50833,84.86667,130.0909091,22.33652971,28.18653237,3,0, , 
141,India,Tlawng,123,8.38,42.5,23.636325,92.651217,342.8888889,18.43585658,26.23903224,2,0, , 
142,India,Icchampally,112.7,926,10374,18.634444,80.323889,92.38461538,24.39608078,28.87984111,3,0, , 
143,India,Kalpasar,53,2070,16791,21.455833,72.415833,608.6923077,23.73417053,28.81016947,6,0, , 
144,India,Tipaimukh,162.8,275.5,15000,24.0003,93.0003,296.875,19.22188335,27.49668581,2,0, , 
145,India,Bham,34,4.7,75.42,19.6592,73.6453,608.6923077,22.04243712,24.87890561,2,0, , 
146,India,Birpur,16,1.792,5.469,26.116667,77.133333,197.7083333,17.86833496,30.97809347,6,0, , 
147,Romania,Valea Sadului,51,10,305,45.1854,23.3813,315,-1.383378863,16.082697,26,0, ,366
148,Afghanistan,Shah wa Arus,75,4.7,0.18,34.688111,69.0194,2150,-5.057193982,18.54423625,5,0, ,2225
149,Tajikistan,Rogun,335,170,13300,38.6861,69.7717,1176.5,-8.580429995,12.02707337,17,0, , 
150,Peru,Veracruz,168,36,2409.599195,-6.071897829,-78.5547139,562,20.02577591,17.85264486,15,730, ,
151,Peru,Chadin 2,175,32.5,2636.628217,-6.427222516,-78.22598257,738,16.9073288,15.69222412,15,600, , 
152,Peru,Pias 1,19,2,49.60945215,-7.896818409,-77.55139604,1863,12.95560783,11.79341351,3,13, , 
153,Peru,Pias 2,10,3,289.2470779,-7.889551079,-77.62190638,1560,12.27674767,11.41667887,3,17, , 
